"","parent","node","branch.length","label","species","CesA","X"
"1",51,1,0.00109250575884342,"Penium_pm001908g0030","Penium margaritaceum","",NA
"2",51,2,0.0299888797308155,"Penium_pm001158g0050","Penium margaritaceum","",NA
"3",52,3,0.00250844870871908,"AnthocerosagrBONN_evm.model.Sc2ySwM_228.2986","Anthoceros agrestis","",NA
"4",52,4,0.015436793967752,"Anthocerospun_evm.model.utg000043l.1525","Anthoceros punctatus","",NA
"5",52,5,0.0107538555123988,"AnthocerosANG012329_locus=scaffold76_len3303","Anthoceros angustus","",NA
"6",52,6,0.0124624952896809,"S.fallax_v1.1|Sphfalx16G018300.1_CDS","Sphagnum fallax","",NA
"7",52,7,0.00909478659937209,"S.magellanicum_v1.1|Sphmag16G006100.1_CDS","Sphagnum magellanicum","",NA
"8",52,8,0.011101987168046,"S.magellanicum_v1.1|Sphmag17G023300.1_CDS","Sphagnum magellanicum","",NA
"9",52,9,0.00819419994827504,"S.fallax_v1.1|Sphfalx17G024100.1_CDS","Sphagnum fallax","",NA
"10",52,10,0.00871353275057706,"S.magellanicum_v1.1|Sphmag19G038600.1_CDS","Sphagnum magellanicum","",NA
"11",52,11,0.00609141611744752,"S.fallax_v1.1|Sphfalx19G037000.1_CDS","Sphagnum fallax","",NA
"12",52,12,0.0505486784030193,"Foant_03732-RA__mRNA__locus=150007_6113_14162_+","Fontanalis antipyretica","",NA
"13",52,13,0.0155854833020264,"Hyp_curivifolium_jg25231.t1","Hypnum curvifolium","",NA
"14",52,14,0.0163958842983852,"Eseductrix_jg16709.t1","Entodon seductrix","",NA
"15",52,15,0.155280233638258,"PpCESA1","Physcomitrium patens","CESA1",NA
"16",52,16,0.000700370012681676,"C.purpureus_R40_v1.1|CepurR40.10G098100.1_CDS","Ceratodon purpureus R40","",NA
"17",52,17,0.000210250863688296,"C.purpureus_GG1_v1.1|CepurGG1.10G096400.1_CDS","Ceratodon purpureus GG1","",NA
"18",52,18,0.000608529040521027,"C.purpureus_R40_v1.1|CepurR40.7G025400.1_CDS","Ceratodon purpureus R40","",NA
"19",52,19,1.00000050002909e-06,"C.purpureus_GG1_v1.1|CepurGG1.7G024500.1_CDS","Ceratodon purpureus GG1","",NA
"20",52,20,0.0212755238284524,"PpCESA4","Physcomitrium patens","CESA4",NA
"21",52,21,0.0473395159688654,"PpCESA10","Physcomitrium patens","CESA10",NA
"22",52,22,0.00080398688157505,"PpCESA7","Physcomitrium patens","CESA7",NA
